SpeciesCode,FunctionalGroupIndex,NitrogenFixer,GDDMinimum,GDDMaximum,MinJanuaryT,MaxDrought,LeafLongevity,Epicormic,LeafLignin,FineRootLignin,WoodLignin,CoarseRootLignin,LeafCN,FineRootCN,WoodCN,CoarseRootCN,FoliageLitterCN,MaximumANPP,MaximumBiomass,LightLAIShape,LightLAIScale,LightLAILocation
AbieConc,4,FALSE,400,3600,-10,0.93,8,FALSE,0.17,0.2,0.25,0.25,30,30,333,222,100,55,100000,1.892519367,11.91153731,0
AbieMagn,4,FALSE,400,3400,-13,0.91,8,FALSE,0.17,0.2,0.25,0.25,30,30,250,167,100,50,100000,1.891745208,12.62476299,0.002945993
AcerMacr,2,FALSE,550,3600,-3,0.5,1,FALSE,0.18,0.22,0.28,0.32,24,30,400,80,62,50,20000,2.381113779,14.68835099,0.016877189
AescCali,2,FALSE,1100,4000,0,0.6,1,TRUE,0.18,0.22,0.28,0.32,24,30,400,80,62,40,10000,0.939608211,7.59722295,0
AlnuRhom,2,TRUE,400,2950,-7,0.5,1,FALSE,0.18,0.15,0.28,0.32,22,25,200,80,28,40,15000,5.232918164,13.32227624,0.028765399
ArbuMenz,2,FALSE,400,3750,-5,0.75,3,TRUE,0.18,0.22,0.28,0.32,25,30,400,80,100,45,20000,1.212879767,11.63221887,0
CaloDecu,1,FALSE,1100,3600,-18,0.97,4,FALSE,0.1,0.2,0.25,0.25,48,48,500,333,100,50,100000,1.737915518,12.00855406,0
CornNutt,2,FALSE,500,2500,-10,0.7,1,TRUE,0.18,0.15,0.28,0.32,22,25,200,80,28,45,10000,6.656704157,13.18324466,0.033910005
JuniOcci,1,FALSE,400,5500,-14,0.99,6,FALSE,0.25,0.2,0.25,0.25,20,30,333,222,50,45,20000,6.656704157,13.18324466,0.033910005
LithDens,2,FALSE,900,3150,2,0.8,1,TRUE,0.18,0.22,0.28,0.32,27,30,400,80,33,65,35000,0.916090307,12.3640259,0
PinuAlbi,4,FALSE,300,2400,-18,0.9,6,TRUE,0.27,0.2,0.25,0.25,80,80,333,222,100,30,15000,2.198881332,11.65479022,0
PinuAtte,1,FALSE,900,2500,1,0.8,4,FALSE,0.28,0.2,0.25,0.25,48,48,250,167,100,30,15000,6.656704157,13.18324466,0.033910005
PinuCont,4,FALSE,500,2400,-18,0.87,5,FALSE,0.25,0.2,0.25,0.25,48,48,500,333,100,30,15000,6.656704157,13.18324466,0.033910005
PinuJeff,1,FALSE,900,2800,-5,0.95,6,FALSE,0.28,0.2,0.25,0.25,48,48,250,167,100,60,100000,1.355160428,12.30627797,0
PinuLamb,1,FALSE,900,2800,-5,0.9,4,FALSE,0.17,0.2,0.25,0.25,53,53,278,185,100,65,100000,1.355160428,12.30627797,0
PinuMono,1,FALSE,400,5500,-10,0.99,9,FALSE,0.25,0.2,0.25,0.25,20,30,333,222,50,40,15000,1.355160428,12.30627797,0
PinuMont,4,FALSE,500,2200,-18,0.85,7,FALSE,0.31,0.2,0.25,0.25,37,37,500,333,100,30,100000,1.23792401,11.987459,0
PinuPond,1,FALSE,500,5500,-9,0.9,5,FALSE,0.24,0.23,0.28,0.32,50,47,400,80,75,65,100000,1.470258675,11.5923877,0
PinuSabi,1,FALSE,900,4200,0,0.9,4,FALSE,0.28,0.2,0.25,0.25,48,48,250,167,100,35,15000,1.03462286,7.856504495,0
PinuWash,1,FALSE,500,5500,-9,0.9,5,FALSE,0.24,0.23,0.28,0.32,50,47,400,80,75,65,100000,1.586899226,11.99461854,0
PopuTrem,2,FALSE,600,3200,-10,0.82,1,TRUE,0.18,0.2,0.25,0.25,62,62,333,222,100,40,10000,1.23792401,11.987459,0
PseuMenz,1,FALSE,300,4950,-12,0.91,6,FALSE,0.24,0.3,0.28,0.32,42,36,400,80,77,65,100000,1.224681393,12.00485837,0
QuerChry,5,FALSE,700,4250,0,0.95,1,TRUE,0.18,0.22,0.28,0.32,27,30,400,80,33,65,25000,1.23792401,11.987459,0
QuerDoug,5,FALSE,700,3950,0,0.95,1,TRUE,0.18,0.22,0.28,0.32,27,30,400,80,33,65,20000,0.980308468,13.71692705,0
QuerGarr,5,FALSE,700,3950,0,0.95,1,TRUE,0.18,0.22,0.28,0.32,27,30,400,80,33,65,20000,1.458349791,12.4006986,0
QuerKell,5,FALSE,850,4250,-1,0.95,1,TRUE,0.18,0.22,0.28,0.32,27,30,400,80,33,65,25000,1.121963196,11.95927499,0
QuerWisl,5,FALSE,850,4250,-1,0.95,1,TRUE,0.18,0.22,0.28,0.32,27,30,400,80,33,65,20000,0.984137525,11.40248278,0
TaxuBrev,1,FALSE,400,2500,-4,0.8,6,FALSE,0.31,0.2,0.25,0.25,37,37,500,333,100,40,15000,0.984137525,11.40248278,0
TorrCali,5,FALSE,900,4000,0,0.7,3,TRUE,0.18,0.22,0.28,0.32,27,30,400,80,33,40,15000,0.984137525,11.40248278,0
TsugMert,4,FALSE,500,1400,-18,0.82,6,TRUE,0.24,0.2,0.25,0.25,80,80,333,222,100,45,90000,1.121963196,11.95927499,0
UmbeCali,5,FALSE,900,4000,0,0.7,3,TRUE,0.18,0.22,0.28,0.32,27,30,400,80,33,40,15000,6.656704157,13.18324466,0.033910005
FX_R_SEED,3,TRUE,400,4000,-10,0.97,2,TRUE,0.25,0.2,0.25,0.25,20,28,333,222,50,35,2900,6.656704157,13.18324466,0.033910005
NOFX_R_SEED,3,FALSE,400,4000,-10,0.97,2,TRUE,0.25,0.2,0.25,0.25,59,59,333,222,100,35,2700,1.60329298,12.30306426,0
NOFX_NOR_SEED,3,FALSE,400,4000,-10,0.97,2,FALSE,0.25,0.2,0.25,0.25,59,59,333,222,100,35,2700,1.157236531,13.06146671,0
